Managing Agency ID,Managing Agency Name,Managing Sub-agency or Bureau Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name,International Category Name,International Sector Name,International Purpose Name,US Category Name,US Sector Name,Funding Account Name,Funding Agency Name,Funding Agency Acronym,Activity ID,Activity Name,Activity Description,Activity Project Number,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
2,Department of State,"Population, Refugees, and Migration",Multilateral,Multilateral - United Nations,United Nations Office of the United Nations High Commissioner for Refugees,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,86311,Contribution Towards United Nations High Commissioner for Refugees (UNHCR)'s Africa Annual Budget Activities  Niger,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]",15VC1023,2015,5700000,6374293
2,Department of State,"Population, Refugees, and Migration",Multilateral,Multilateral - United Nations,United Nations Office of the United Nations High Commissioner for Refugees,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,88663,Nigeria Situation Emergency Response Supplementary Budget Appeal-Niger,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]",15VC1023,2015,4900000,5479655
7,Department of Defense,Defense Security Cooperation Agency,Government,Government - United States,U.S. Government - Department of Defense,Governance,"Conflict, Peace, and Security",Security system management and reform,Peace and Security,Counter-Terrorism,"Department of Defense, Operation and Maintenance, Defense-Wide",Department of Defense,DOD,403086,Global Train and Equip Program - Airbase Security Company,This program will help build the capacity of the Niger Armed Forces by providing training and equipment to build an Airbase Security Company at Niger Airbase 201 in Agadez to support military and stability operations.,J7-B-DAC,2015,4799855,5367663
7,Department of Defense,Defense Security Cooperation Agency,Government,Government - United States,U.S. Government - Department of Defense,Governance,"Conflict, Peace, and Security",Security system management and reform,Peace and Security,Counter-Terrorism,"Department of Defense, Operation and Maintenance, Defense-Wide",Department of Defense,DOD,403113,Global Train and Equip Program - Forward Operating Locations,"This program funds equipment, training and small-scale military construction for multiple combined arms battalions (BIA) with the intent of providing forward area refueling point (FARP) capability to support extended forward operations.",J9-B-DCF,2015,4072218,4553949
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,167248,LAHIA Niger,"The goal of the LAHIA project is reduced food insecurity and malnutrition among poor rural households in Maradi Region, Niger. It will achieve this goal through integrated activities focused on improving the nuritional status of children and PLW, improving HH food access; reducing HH vulnerability to food security shocks, and improving the status of women in target HH and communitites.",AID-FFP-A-12-00010,2015,2700673,3020154
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,174173,Niger (Diffa) Emergency Food and Shelter Program (EFSP) - 2015 Award,Niger (Diffa) Emergency Food and Shelter Program (EFSP) - 2015 Award,AID-FFP-G-15-00072,2015,2700210,3019637
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,174172,Niger (Diffa) Emergency Food and Shelter Program (EFSP) - 2015 Award,Niger (Diffa) Emergency Food and Shelter Program (EFSP) - 2015 Award,AID-FFP-G-15-00068,2015,2699592,3018946
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - Other,International Organisation for Migration,Governance,"Conflict, Peace, and Security",Security system management and reform,Program Support,Direct Administrative Costs,"Agency for International Development, International Assistance Program, Transition Initiatives",U.S. Agency for International Development,USAID,172107,OTI Niger Community Cohesion Initiative,OTI Niger Community Cohesion Initiative,AID-OAA-IO-14-00001,2015,2583000,2888561
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,173957,IRC Niger (Diffa) Emergency Food and Shelter Program (EFSP) - 2015 Award,IRC Niger (Diffa) Emergency Food and Shelter Program (EFSP) - 2015 Award,AID-FFP-G-15-00064,2015,2500000,2795742
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Economic Development,Agriculture,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,59136,MCC Access to Land and Water for Agriculture and Livestock,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-ACCESSAGLS-60,2015,1970000,2203045
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,174154,"Multi-sectoral support for vulnerable households in Tillaberri and Diffa, Niger","New award for programming in the following sectors: nutrition, water, sanitation and hygiene, agriculture and food security, economic recovery and market systems, logistics support and relief commodities, and protection of women, children and other vulnerable groups.",AID-OFDA-G-15-00186,2015,1946292,2176532
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - Non United States,SNV World,Governance,Government and Civil Society,Democratic participation and civil society,"Democracy, Human Rights, and Governance",Civil Society,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,171909,Niger YAWWA - Civil Society Programming,Niger YAWWA - Civil Society Programming,AID-625-A-14-00002,2015,1925393,2153161
2,Department of State,"Population, Refugees, and Migration",NGO,NGO - International,International Committee of the Red Cross,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,88135,International Committee of the Red Cross (ICRC) Bea for Lake Chad Region,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [International Committee of the Red Cross]",15VC1055,2015,1900000,2124764
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,173708,Emergency food security and livelihood assistance in Niger,New award for emergency agriculture & food security and economic recovery & market systems activies in Niger.,AID-OFDA-G-15-00181,2015,1800000,2012935
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Health,Nutrition,Public Law 480 Title II Grants,Department of Agriculture,AGR,211930,USAID Title II Development Program,Title II Development Program though a partner of the US Agency for International Development.,AID-FFP-A-12-00005,2015,1681344,1880242
2,Department of State,Diplomatic Security,Government,Government - United States,U.S. Government - Department of State,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,66183,Anti-Terrorism Assistance Training,"The Anti-Terrorism Assistance (ATA) program has served as the primary provider of U.S. government antiterrorism training and equipment to law-enforcement agencies of partner nations throughout the world,and has delivered counterterrorism training to more than 90,000 law enforcement personnel from 154 countries.",,2015,1664908,1861862
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Health,Nutrition,Public Law 480 Title II Grants,Department of Agriculture,AGR,211966,USAID Title II Development Program,Title II Development Program though a partner of the US Agency for International Development.,AID-FFP-A-12-00010,2015,1402368,1568264
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Economic Development,Private Sector Competitiveness,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,59994,MCC Infrastructure Project,"Due diligence funding is used to obtain sufficient information to evaluate, assess and appraise projects during compact development, effectively oversee and monitor compact implementation, conduct quality assurance, and then evaluate the results of a compact project once complete.",NER-2750BXDILD-INFRSTRE-NA,2015,1386260,1550251
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,173707,Emergency assistance to vulnerable host and displaced populations in Niger,Emergency assistance to vulnerable populations in Niger,AID-OFDA-G-15-00193,2015,1222000,1366559
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - United States,Consortium for Elections and Political Process Strengthening,Governance,Government and Civil Society,Legislatures and political parties,"Democracy, Human Rights, and Governance",Good Governance,"Agency for International Development, Gifts and Donations",U.S. Agency for International Development,USAID,165507,Post-election Support Program,Associate Cooperative Agreement for the implementation of Post-election Support Program in Niger: Increased legislative and civil society oversight over natural resources (mining sector) exploitation and management.,AID-624-LA-12-00003,2015,1166084,1304028
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Health,Nutrition,Public Law 480 Title II Grants,Department of Agriculture,AGR,211953,USAID Title II Development Program,Title II Development Program though a partner of the US Agency for International Development.,AID-FFP-A-12-00010,2015,1102563,1232993
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,151841,Crisis Assistance and Recovery,"Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.",5.1.2,2015,1095179,1224735
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60722,MCC Program Administration and Control,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-PGM ADMIN-21,2015,1000000,1118297
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60720,MCC Program Administration and Control,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-PGM ADMIN-131,2015,1000000,1118297
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Economic Development,Private Sector Competitiveness,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,59104,MCC Access To Markets Projects,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-ACCESSMARK-72,2015,950000,1062383
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Program Support,Monitoring and Evaluation,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60994,MCC Program Assessments,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-PGM ASSMT-16,2015,900000,1006467
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60721,MCC Program Administration and Control,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-PGM ADMIN-17,2015,895000,1000876
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Agriculture,Public Law 480 Title II Grants,Department of Agriculture,AGR,211930,USAID Title II Development Program,Title II Development Program though a partner of the US Agency for International Development.,AID-FFP-A-12-00005,2015,814401,910742
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Economic Development,Agriculture,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,59135,MCC Access to Land and Water for Agriculture and Livestock,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-ACCESSAGLS-439,2015,800000,894638
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Program Support,Monitoring and Evaluation,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60995,MCC Program Assessments,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-PGM ASSMT-181,2015,760000,849905
2,Department of State,"Population, Refugees, and Migration",Multilateral,Multilateral - Other,International Organisation for Migration,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,87504,Humanitarian Assistance to Populations Fleeing From North Nigeria to Diffa Region,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [International Organisation for Migration]",15VC1094,2015,750000,838723
1,U.S. Agency for International Development,Bureau for Africa,NGO,NGO - Non United States,Plan International,Governance,Government and Civil Society,Democratic participation and civil society,"Democracy, Human Rights, and Governance",Civil Society,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,167424,Niger Education and Community Strengthening (NECS),Niger Education and Community Strengthening (NECS),AID-624-A-12-00004,2015,745700,833914
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Program Support,Monitoring and Evaluation,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,60321,MCC Monitoring and Evaluation,"Due diligence funding is used to obtain sufficient information to evaluate, assess and appraise projects during compact development, effectively oversee and monitor compact implementation, conduct quality assurance, and then evaluate the results of a compact project once complete.",NER-2750BXDILD-MON & EVAL-16,2015,702543,785652
2,Department of State,"Population, Refugees, and Migration",NGO,NGO - International,ACF International,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,89576,"Responding to the Water, Sanitation and Hygiene (WASH) Needs of Crisis Affected Populations in the Region of Diffa, Niger","United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [ACF International]",15CA1092,2015,700000,782808
2,Department of State,"Population, Refugees, and Migration",NGO,NGO - International,International Rescue Committee,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,88588,"Multi-Sectoral Assistance for Displaced Persons in Diffa, Niger","United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [International Rescue Committee]",15CA1093,2015,700000,782808
1,U.S. Agency for International Development,Bureau for Africa,Enterprises,Enterprises - Non United States,Unspecified Vendors - Senegal,Administrative Costs,Operating Expenses,Operating Expenses,Program Support,Direct Administrative Costs,"Agency for International Development, Operating Expenses",U.S. Agency for International Development,USAID,172959,"USAID Miscellaneous Goods, Services, and Operations Maintanence","Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence",,2015,691119,772875
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Agriculture,Public Law 480 Title II Grants,Department of Agriculture,AGR,211966,USAID Title II Development Program,Title II Development Program though a partner of the US Agency for International Development.,AID-FFP-A-12-00010,2015,679272,759628
2,Department of State,Political-Military Affairs,Government,Government - United States,U.S. Government - Department of Defense,Governance,"Conflict, Peace, and Security",Security system management and reform,Peace and Security,Stabilization Operations and Security Sector Reform,International Military Education and Training,Department of State,STATE,216952,DOD - International Military Eduation & Training (IMET) Program/Deliveries,"The dollar value allocated in any fiscal year for the training of foreign military students both overseas and in the continental United States, and the cost of training aids and materials associated with such training, for which the U.S. Government receives no dollar reimbursement.",,2015,670500,749818
2,Department of State,"Population, Refugees, and Migration",NGO,NGO - International,"Save the Children Federation, Inc.",Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,85949,Assistance to Nigerian Refugees and Host Communities in the Ministry of Health District of the Diffa Region in Niger,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [Save the Children]",15CA1091,2015,650000,726893
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Agriculture,Public Law 480 Title II Grants,Department of Agriculture,AGR,211953,USAID Title II Development Program,Title II Development Program though a partner of the US Agency for International Development.,AID-FFP-A-12-00010,2015,647537,724139
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Economic Development,Agriculture,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,59103,MCC Access To Markets Projects,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-ACCESSMARK-61,2015,625000,698936
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,Food and Agriculture Organisation,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,174082,Macro Grant to UN Food and Agriculture Organization (FAO) 2015,Macro Grant to UN Food and Agriculture Organization (FAO) 2015,AID-OFDA-IO-15-00048,2015,600000,670978
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,174572,UNICEF Base Macro Award 2015,UNICEF Base Macro Award 2015,AID-OFDA-IO-15-00054,2015,600000,670978
2,Department of State,"Population, Refugees, and Migration",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,89149,Provision of Humanitarian Air Services in Niger- UN Humanitarian Air Service So 200792,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [World Food Program]",15VC1054,2015,600000,670978
7,Department of Defense,Office of Counternarcotics,Government,Government - United States,U.S. Government - Department of Defense,Governance,Other Social Infrastructure and Services,Narcotics control,Peace and Security,Counter-Narcotics,"Department of Defense, Drug Interdiction and Counter-Drug Activities",Department of Defense,DOD,20137,In-Country Counternarcotics Program,"In-Country Counternarcotics Program under U.S. Africa Command. The U.S. Department of Defense International Counter-Drug Program (ICDP) enables the Secretary of Defense to provide foreign governments with support, such as training and equipment, to combat illicit drug trafficking and transnational organized crime.",,2015,577000,645257
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,Consortium for Elections and Political Process Strengthening,Governance,Government and Civil Society,Legislatures and political parties,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"Department of State, Democracy Fund",Department of State,STATE,174606,USAID Advisory and Assistance Services,Administrative costs and operating expenses of USAID contributing to Advisory and Assistance Services.,,2015,537500,601085
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,167481,PASAM-TAI,"USAID's 'Programme d'Appui a` la Securite Alimentaire des Menages-Tanadin Abincin Iyali' (PASAM-TAI) aims to reduce chronic food insecurity and malnutrition in rural households. USAID focuses on improved and increased maternal and child health intervention, agricultural production and natural resource management, disaster risk management through community-based early warning systems, and savings and loan activities to enable families to find new income-generating opportunities. In FY 2017, USAID will continue to implement its activities in health and nutrition, agriculture, and early warning. Food distribution will be phased out while behavior change programming in health and nutrition will continue. PASAM-TAI's primary focus will be on providing refresher training for private service providers in all technical areas such as latrine construction, pump repair, literacy trainers, and savings group facilitators.",AID-FFP-A-12-00005,2015,513700,574469
2,Department of State,"Population, Refugees, and Migration",NGO,NGO - International,International Rescue Committee,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,86249,Consolidating and Enhancing Support for A Dignified Life and Creating Future Opportunities for Malian Refugee Children and Youth in Niger,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [International Rescue Committee]",15CA1172,2015,500000,559148
2,Department of State,Political-Military Affairs,Government,Government - United States,U.S. Government - Department of Defense,Governance,"Conflict, Peace, and Security",Security system management and reform,Peace and Security,Stabilization Operations and Security Sector Reform,Foreign Military Financing Program,Department of State,STATE,216953,"DOD - Foreign Military Financing (FMF) Program, Payment Waived","The amount of credit extended to a foreign government or international organization in any fiscal year for the procurement of defense articles, defense services, and design and construction services.",,2015,500000,559148
2,Department of State,"Population, Refugees, and Migration",NGO,NGO - Non United States,Agency for Technical Cooperation and Development,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,86262,Continue to Support Economic Self-Reliance for Malian Refugees,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [Agency for Technical Cooperation and Development]",15CA1230,2015,500000,559148
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,175176,me (WFP) Macro Grant - 2015 Award,me (WFP) Macro Grant - 2015 Award,AID-OFDA-IO-15-00020,2015,500000,559148
2,Department of State,"Population, Refugees, and Migration",NGO,NGO - Non United States,Samaritan International,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Department of  State, Migration and Refugee Assistance",Department of State,STATE,86731,Emergency Assistance Project for Malian Refugees and Host Populations in the Refugee Hosting Areas,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [Samaritan International]",15CA1218,2015,497963,556871
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - International,NGO - International Redacted,Humanitarian,Emergency Response,Relief co-ordination; protection and support services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,174154,"Multi-sectoral support for vulnerable households in Tillaberri and Diffa, Niger","New award for programming in the following sectors: nutrition, water, sanitation and hygiene, agriculture and food security, economic recovery and market systems, logistics support and relief commodities, and protection of women, children and other vulnerable groups.",AID-OFDA-G-15-00186,2015,453708,507380
3,Millennium Challenge Corporation,not applicable,Government,Government - United States,U.S. Government - Millennium Challenge Corporation,Other,Unallocated/ Unspecified,Sectors not specified,Health,HIV/AIDS,"Millennium Challenge Corporation, Expenses",Millennium Challenge Corporation,MCC,61196,MCC Safety and Security Assessments,"609(g) funding is used pre-compact for key project preparation work such as feasibility and environmental impact studies, engineering designs, baseline surveys, financial management and procurement technical assistance, and other specialized analysis to help MCC determine the final suitability and scope of investments, costs, implementation risks, and mitigation measures.",NER-2750BX69GD-SFSEC ASMT-440,2015,450000,503234
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Enterprises,Enterprises - Non United States,Unspecified Vendors - Senegal,Administrative Costs,Administration and Oversight,Administration and Oversight,Program Support,Direct Administrative Costs,"Agency for International Development, International Assistance Program, Transition Initiatives",U.S. Agency for International Development,USAID,172959,"USAID Miscellaneous Goods, Services, and Operations Maintanence","Administrative costs and operating expenses of USAID contributing to Miscellaneous Goods, Services, and Operations Maintanence",,2015,341158,381516
